阅读量,评价数,标题,情感,详情页,作者,最后更新,影响力,文章内容,评价
997,1,看空，融券了，等着发财，哈哈哈哈,负,"http://guba.eastmoney.com/news,000001,891378643.html",富炒房丨穷炒股,2020/12/12 10:08,25,,把交割单发出来就信你，不然你就是别有用心。
815,1,看看就好，千万别参与，今天继续跌,负,"http://guba.eastmoney.com/news,000001,891369369.html",富炒房丨穷炒股,2020/12/12 9:39,25,,不好说。平银的重要压力位在15.71一线，会先挑战这一压力，反复几次失败后，退守不跌破15.18均可持股。
1535,1,护盘资金买的而已，别指望他拉升！~,负,"http://guba.eastmoney.com/news,000001,891302894.html",A波波熊,2020/12/11 18:42,15,,熊大熊二见底，年内资金紧，银行保险风险极大！
1272,3,一卖就涨,正,"http://guba.eastmoney.com/news,000001,891257665.html",超越大时代,2020/12/11 14:47,25,,估计近期能上去点？-----一买就跌-----想多了，上涨是必然，你自己不看K线图的吗？MACD都已经翻红了，明天上车
919,1,跑路了，祝留下的兄弟发财,负,"http://guba.eastmoney.com/news,000001,891241503.html",SunBrave,2020/12/11 14:15,15,,跑早了
674,0,我一卖就涨,正,"http://guba.eastmoney.com/news,000001,891233493.html",凤凰池州,2020/12/11 14:01,15,,
1703,5,半年以来我持仓中第一个割肉的股。祝留下的发财,负,"http://guba.eastmoney.com/news,000001,891063506.html",大荣亢壮,2020/12/11 13:35,2,,看来明天要涨了----------恭喜，二练成-----看来明天要涨了----------明天必涨----------日线没有走稳，如果破前低15.18必须立场，不过个人感觉概率极小。-----尼玛，刚割肉就拉高
691,0,跑到股市本来是赚钱的。他么的现在是为了解套，日了狗,负,"http://guba.eastmoney.com/news,000001,891215885.html",三十年小韭菜,2020/12/11 13:23,2,,
655,0,看看常熟银行,负,"http://guba.eastmoney.com/news,000001,891214422.html",Renduermai,2020/12/11 13:20,1,,
842,1,卖了就涨？可尼玛做个人把,正,"http://guba.eastmoney.com/news,000001,891168064.html",小怪兽23,2020/12/11 10:45,1,,高买低卖？
902,1,好吧，52全下车了,负,"http://guba.eastmoney.com/news,000001,891167175.html",亮亮来啦,2020/12/11 10:42,1,,诱多
678,0,平安！让你不安！,负,"http://guba.eastmoney.com/news,000001,891153667.html",股友NbuBZP,2020/12/11 10:20,3,,
906,2,真他妈垃圾  买个银行天天绿,负,"http://guba.eastmoney.com/news,000001,891145959.html",股友GBz5fJ,2020/12/11 10:08,15,,熊大熊二见底，超跌中小股票开始走强，北上资金要拉升妖股出货！银行保险风险巨大-----进来大半个月了，估计要磨到月底
751,1,卖了，继续跌吧，15.2等你,负,"http://guba.eastmoney.com/news,000001,891133334.html",越战越怂,2020/12/11 9:49,15,,这~
626,0,天天除了绿不会别的了,负,"http://guba.eastmoney.com/news,000001,891131376.html",阳光彩虹一起来,2020/12/11 9:46,15,,
612,0,不管你了……,负,"http://guba.eastmoney.com/news,000001,891124505.html",Ken34359,2020/12/11 9:34,2,,
1266,0,我最不愿看到的就是银行板块指数下跌而创业板指数上涨,负,"http://guba.eastmoney.com/news,000001,891070241.html",股友TbonBJ,2020/12/10 20:16,4,,
969,0,接着套，尼玛的,负,"http://guba.eastmoney.com/news,000001,891068964.html",火锅好吃,2020/12/10 20:07,25,,
977,0,抛出的人洋洋得意，持股的人垂头丧气[大笑],负,"http://guba.eastmoney.com/news,000001,891062684.html",丨灬Tim乚,2020/12/10 19:12,2,,
1035,0,算你狠,负,"http://guba.eastmoney.com/news,000001,891052788.html",股友hwPV4I,2020/12/10 17:42,2,,
